practices,social,study vs product,system perception,system use,value judgements
lifestyle (2),road (1),difference (1),plans (1),life (3),choose (2)
as (2),around (1),ever (1),designed (1),ago (3),purpose (2)
with (2),attempt (1),suppliers (1),ahead (1),triggers (3),within (2)
took (2),theyre (1),groceries (1),front (1),though (3),taken (2)
conscious (2),theyd (1),criticisms (1),organised (1),terms (3),spending (2)
easily (2),imagine (1),ineffective (1),am (1),notification (3),ago (2)
products (2),offence (1),addison (1),stupid (1),user (3),christmas (2)
pattern (2),whats (1),later (1),accounts (1),minutes (3),chose (2)
this (2),happens (1),costwise (1),dish (1),experience (3),short (2)
using (2),harder (1),biggest (1),quickly (1),ways (3),reason (2)
ordered (2),oils (1),delivering (1),believe (1),world (3),promotional (2)
hours (2),plans (1),concern (1),present (1),difference (3),showed (2)
back (2),exactly (1),our (1),perfected (1),makes (3),late (2)
sorry (2),open (1),lee (1),bugs (1),emails (3),ten (2)
scale (2),hard (1),tiny (1),prototype (1),list (3),almost (2)
fairly (2),flat (1),conclusive (1),opinion (1),amazing (3),making (2)
arrive (2),mates (1),impact (1),remove (1),interesting (3),perhaps (2)
for (2),red (1),environmental (1),texts (1),environment (3),job (2)
some (2),talked (1),concerns (1),receiving (1),taken (3),money (2)
long (2),variable (1),main (1),emails (1),told (3),automated (2)
amazing (2),others (1),struggled (1),million (1),in (3),six (2)
least (2),disturb (1),plans (1),such (1),regular (3),doesnt (2)
drivers (2),interacting (1),worth (1),six (1),general (3),completely (2)
driver (2),schedules (1),differentiate (1),making (1),reading (3),half (2)
options (2),anybody (1),slots (1),annoying (1),reordering (3),lovely (2)
choose (2),push (1),grooves (1),clever (1),texts (3),four (2)
taken (2),feel (1),installed (1),received (1),diet (3),past (2)
arriving (2),type (1),bridge (1),often (1),occurred (3),great (2)
particularly (2),silly (1),building (1),mouldy (1),without (3),cook (2)
normal (2),guilt (1),everyone (1),white (1),problems (3),items (2)
couldnt (2),boyfriend (1),happen (1),on (1),loaf (3),easier (2)
freezing (2),told (1),signed (1),dead (1),finished (3),weve (2)
free (2),dinner (1),minimum (1),bluish (1),better (3),itll (2)
drive (2),awkward (1),truck (1),checked (1),sending (3),reading (2)
spending (2),ways (1),guarantee (1),lovely (1),they (3),care (2)
parents (2),rest (1),driving (1),rotten (1),with (3),gosh (2)
ago (2),kitchen (1),sleep (1),joan (1),immediately (3),front (2)
christmas (2),cooks (1),across (1),away (1),egg (3),brought (2)
promotional (2),with (1),basics (1),subsequent (1),preference (3),surprise (2)
raining (2),running (1),redeliver (1),actual (1),yeah (3),morning (2)
side (2),brilliant (1),housemate (1),desired (1),initially (3),lemon (2)
bad (2),noticed (1),he (1),indeed (1),adjust (3),taste (2)
opened (2),often (1),passes (1),left (1),gets (3),source (2)
perhaps (2),bizarrely (1),hes (1),occasion (1),possibly (3),imagine (2)
money (2),experience (1),gets (1),rest (1),visually (3),wondering (2)
around (2),please (1),promised (1),true (1),based (3),healthy (2)
city (2),etc (1),currently (1),miss (1),almost (3),please (2)
thinking (2),next (1),organic (1),unless (1),looking (3),arrives (2)
needs (2),lost (1),buying (1),prove (1),sitting (3),soon (2)
convenient (2),pot (1),spinach (1),cautious (1),pick (3),gap (2)
surprise (2),went (1),argue (1),approach (1),weigh (3),bowl (2)
theyll (2),daniel (1),decided (1),reason (1),asked (3),bigger (2)
completely (2),sunday (1),ahead (1),unplugged (1),thursday (3),kilogram (2)
abel (2),second (1),commit (1),afterwards (1),especially (3),a (2)
placed (2),monday (1),complain (1),weeks (1),biscuits (3),course (2)
cole (2),end (1),subscribed (1),maintain (1),showing (3),loaf (2)
thursday (2),becomes (1),hasslefree (1),element (1),sliced (3),finished (2)
tomorrow (2),value (1),for (1),rely (1),granary (3),whatever (2)
convenience (2),considered (1),lidl (1),create (1),button (3),g (2)
wow (2),important (1),some (1),signal (1),press (3),shape (2)
imagine (2),cookies (1),tescos (1),reliability (1),easy (3),stack (2)
plans (2),nuts (1),influences (1),measuring (1),near (3),minus (2)
inconvenience (2),higher (1),of (1),sending (1),chose (3),might (2)
online (2),service (1),whoa (1),involves (1),werent (3),kept (2)
stupid (2),valuable (1),amazon (1),possible (1),level (3),cancelling (2)
experience (2),services (1),paid (1),loss (1),trust (3),giraffe (2)
idea (2),snack (1),normally (1),possibility (1),amazon (3),necessarily (2)
easier (2),basis (1),cooking (1),transactional (1),seed (3),mind (2)
later (2),weekly (1),gives (1),selection (1),grape (3),shopping (2)
tangerines (2),right (1),voucher (1),fruit (1),explained (3),waste (2)
on (2),give (1),fourth (1),fruits (1),suddenly (3),useful (2)
another (2),appreciate (1),cancel (1),mixed (1),says (3),milk (2)
sell (2),course (1),promotional (1),strawberries (1),service (3),looked (2)
bother (2),fruit (1),choose (1),line (1),old (3),interested (2)
lemon (2),snacks (1),wow (1),allergic (1),sorry (3),local (2)
needed (2),accurate (1),massive (1),thatsa (1),yesterday (3),cupboard (2)
study (2),deliveries (1),eye (1),relevant (1),instantly (3),check (2)
main (2),difficulty (1),keeping (1),name (1),parcel (3),happy (2)
guys (2),at (1),on (1),resarcher (1),chosen (2),limitations (2)
that (2),quality (1),runs (1),direct (1),specified (2),ai (2)
world (2),comes (1),grades (1),interaction (1),criteria (2),behind (2)
weekend (2),depots (1),exactly (1),bloody (1),larger (2),cheaper (2)
at (2),buy (1),lemons (1),oranges (1),shelf (2),many (2)
beginning (2),random (1),old (1),job (1),embarrassed (2),handy (2)
happen (2),branding (1),bad (1),hell (1),item (2),recycling (2)
unless (2),branded (1),clementine (1),unclear (1),hes (2),ran (2)
computer (2),checked (1),saw (1),kitchen (1),bringing (2),onto (2)
computers (2),dates (1),texts (1),grocery (1),concern (2),available (2)
breakfast (2),received (1),emails (1),reorder (1),main (2),though (2)
brand (2),send (1),thousand (1),ran (1),communication (2),computer (2)
branded (2),beginning (1),water (1),limit (1),involved (2),preference (2)
browsing (2),discussing (1),dishes (1),there (1),rest (2),generally (2)
