practices,social,study vs product,system perception,system use,value judgements
long (4),shops (1),goes (2),even (2),mind (13),scales (2)
purpose (4),app (1),start (2),using (2),experience (13),minus (2)
means (4),eat (1),usually (2),confusion (2),working (13),suppose (2)
choose (4),graph (1),pretty (2),let (2),better (13),home (2)
area (4),showed (1),subscribed (2),study (2),cancelled (13),difficulties (2)
options (4),limitations (1),for (2),called (2),interested (13),five (2)
period (4),are (1),influences (2),theyre (2),couldnt (13),depot (2)
night (4),cost (1),spend (2),computer (2),moment (13),whole (2)
drive (4),fact (1),tomorrow (2),little (2),close (13),ran (2)
spending (4),talk (1),front (2),cereal (2),pay (13),sunday (2)
late (4),describing (1),normally (2),play (2),hour (13),weekend (2)
working (4),fridges (1),fridge (2),try (2),stock (13),friday (2)
running (4),groceries (1),fruits (2),came (2),oats (13),onto (2)
regular (4),text (1),abel (2),worked (2),yesterday (13),us (2)
dinner (4),delivers (1),cole (2),item (2),second (13),else (2)
tuesday (4),phrase (1),placed (2),morning (2),when (12),though (2)
ahead (4),fridge (1),choose (2),mind (2),shop (12),text (2)
morning (4),automated (1),bought (2),hour (2),then (12),messages (2)
they (4),playing (1),nine (2),up (2),sent (12),shouldnt (2)
best (4),site (1),budget (2),website (2),hours (12),ended (2)
either (4),showing (1),water (2),stop (2),earlier (12),reordered (2)
looking (4),kids (1),thousand (2),used (2),list (12),up (2)
rather (4),help (1),texts (2),normally (2),amount (12),regular (2)
grocery (4),there (1),emails (2),planned (2),sending (12),routine (2)
hour (4),couple (1),house (2),cheaper (2),pick (12),food (2)
concierge (4),earlier (1),kilogram (2),meal (2),attention (12),stop (2)
lots (4),working (1),clementines (2),onion (2),easy (12),next (2)
onions (4),terms (1),this (2),use (2),onions (12),eco (2)
fusilli (4),cleaner (1),evenings (2),service (2),cookies (12),price (2)
last (4),area (1),collect (2),stock (2),far (12),priority (2)
now (4),equipment (1),ordered (2),forgot (2),glitch (12),used (2)
indulgence (4),cleaning (1),fine (2),internet (2),forgot (12),normally (2)
weight (4),easily (1),supermarket (2),onehour (2),questions (12),planned (2)
early (4),were (1),seems (2),confirmed (2),aware (12),cheaper (2)
wine (4),question (1),fresh (2),very (2),automatically (11),meal (2)
curious (4),touch (1),straight (2),critical (2),guy (11),set (2)
sauce (3),allowed (1),choice (2),magical (2),realised (11),certain (2)
there (3),pull (1),gone (2),expectation (2),bag (11),when (2)
nothing (3),depth (1),extra (2),empty (2),least (11),consideration (2)
lunch (3),studies (1),finished (2),happening (2),situation (11),connected (2)
desk (3),weeksmonthsyears (1),looked (2),explained (2),th (11),forgot (2)
keep (3),better (1),number (2),manually (2),ago (11),stock (2)
to (3),understanding (1),meant (2),process (2),products (11),router (2)
sticks (3),systems (1),couriered (2),another (2),minutes (11),cookies (2)
carrot (3),spend (1),happy (2),when (2),difference (11),asked (2)
fruits (3),women (1),curious (2),can (2),within (11),smooth (2)
constantly (3),towell (1),broccoli (2),property (2),house (11),very (2)
wants (3),done (1),makes (2),sharing (2),start (11),critical (2)
far (3),biscuits (1),deliveries (2),specified (1),otherwise (11),magical (2)
habits (3),three (1),cheaper (2),replenished (1),gets (11),ingredient (2)
six (3),for (1),benefits (2),later (1),asked (11),expectation (2)
then (3),automation (1),less (2),redelivered (1),level (11),consuming (2)
add (3),highest (1),basically (2),communication (1),coffee (11),feeling (2)
sent (3),oclock (1),add (2),knows (1),read (11),orthis (2)
amounts (3),mind (1),shapes (2),server (1),cook (11),vegetables (2)
forget (3),change (1),irregular (2),hey (1),funny (11),employees (2)
goes (3),hour (1),tough (2),communicating (1),normally (11),warm (2)
hes (3),add (1),ways (2),gone (1),ran (10),treating (2)
gets (3),couriers (1),either (2),back (1),beginning (10),registering (2)
organic (3),laterish (1),carrier (2),decisions (1),buying (10),none (2)
basis (3),therell (1),ultimately (2),agent (1),often (10),loads (2)
set (3),called (1),moment (2),wrong (1),there (10),mine (2)
lifestyle (3),days (1),tech (2),supermarkets (1),date (10),clearly (2)
cold (3),weve (1),put (2),instinctively (1),slot (10),fault (2)
with (3),packaging (1),shouldnt (2),porsche (1),cooking (10),suddenly (2)
took (3),concealed (1),yeah (2),dreams (1),figure (10),rice (2)
products (3),goods (1),taken (2),suppliers (1),eating (10),liking (2)
