practices,social,study vs product,system perception,system use,value judgements
fat (1),,,,pick (6),idea (2)
corridor (1),,,,box (6),please (2)
gets (1),,,,tomatoes (5),tell (2)
allowed (1),,,,guy (5),season (2)
head (1),,,,part (5),start (2)
everything (1),,,,paying (5),running (2)
accept (1),,,,talked (5),nice (2)
spain (1),,,,kitchen (5),bowl (2)
chocolate (1),,,,consumption (5),kilogram (2)
crazy (1),,,,less (5),my (2)
lemons (1),,,,called (5),helped (2)
order (1),,,,view (5),words (2)
improve (1),,,,logged (5),wrong (2)
reordering (1),,,,big (5),bag (2)
potential (1),,,,in (5),past (2)
another (1),,,,add (5),courier (2)
lemon (1),,,,somebody (5),necessarily (2)
essential (1),,,,earlier (5),understand (2)
collect (1),,,,situation (5),waste (2)
evenings (1),,,,bag (5),finished (2)
mind (1),,,,egg (5),message (2)
best (1),,,,attention (5),interested (2)
choice (1),,,,asking (5),couldnt (2)
side (1),,,,depot (5),arrived (2)
youokay (1),,,,exactly (5),hello (2)
extra (1),,,,fridge (5),four (2)
offered (1),,,,love (5),weeks (2)
housemates (1),,,,takes (5),easier (2)
diets (1),,,,case (5),saw (2)
excited (1),,,,telling (5),cheaper (2)
broccoli (1),,,,deliveries (5),sent (2)
loads (1),,,,double (5),key (2)
basket (1),,,,notification (5),place (2)
thenhow (1),,,,believe (5),pretty (2)
benefits (1),,,,otherwise (5),was (2)
enjoyed (1),,,,amount (5),sensors (2)
especially (1),,,,started (5),ways (2)
portions (1),,,,product (5),collecting (2)
unless (1),,,,help (5),hear (2)
freezing (1),,,,issue (5),limitations (2)
beers (1),,,,nine (5),easy (2)
wines (1),,,,makes (5),cost (2)
fresh (1),,,,working (5),hour (2)
unhealthy (1),,,,without (5),price (2)
completely (1),,,,products (5),couple (2)
soi (1),,,,button (5),weighing (2)
whatevers (1),,,,choice (5),smart (2)
freezer (1),,,,straight (5),dislike (2)
whole (1),,,,true (5),planned (2)
hasnt (1),,,,then (5),whats (2)
huge (1),,,,five (5),process (2)
difference (1),,,,sending (5),biscuits (2)
savoury (1),,,,showing (5),less (2)
defining (1),,,,control (5),black (2)
solved (1),,,,suppose (5),let (2)
cereals (1),,,,fresh (5),triggered (2)
wholewheat (1),,,,there (5),satisfied (2)
biscuits (1),,,,oranges (5),office (2)
needs (1),,,,bananas (5),expectation (2)
either (1),,,,soyes (5),top (2)
field (1),,,,link (5),trigger (2)
practices (1),,,,lots (5),property (2)
have (1),,,,found (5),products (2)
general (1),,,,thank (5),continue (2)
measuring (1),,,,options (5),brand (2)
forth (1),,,,shopping (5),maintenance (2)
celery (1),,,,morning (5),took (2)
says (1),,,,budget (5),either (2)
feel (1),,,,error (5),meal (2)
product (1),,,,close (5),cooking (2)
hidden (1),,,,sign (5),hard (2)
moved (1),,,,click (5),liking (2)
mightso (1),,,,interview (5),oil (2)
planningokay (1),,,,red (5),saying (2)
planning (1),,,,brown (5),which (2)
hes (1),,,,nuts (5),onion (2)
joint (1),,,,seen (5),enough (2)
bin (1),,,,longer (4),new (2)
beforedid (1),,,,difference (4),amazing (2)
interest (1),,,,after (4),toys (2)
lazy (1),,,,login (4),noticed (2)
live (1),,,,received (4),inaudible (2)
particularly (1),,,,important (4),feeding (2)
city (1),,,,reordered (4),properly (2)
habits (1),,,,usually (4),eating (2)
society (1),,,,old (4),there (2)
obvious (1),,,,sounds (4),router (2)
within (1),,,,cool (4),depot (2)
packaging (1),,,,friend (4),th (2)
load (1),,,,experience (4),essentials (2)
half (1),,,,potentially (4),vegetables (2)
lived (1),,,,hear (4),decided (2)
countryside (1),,,,normal (4),week (2)
item (1),,,,they (4),yesterday (2)
cakes (1),,,,ran (4),middle (2)
grow (1),,,,goes (4),market (2)
find (1),,,,seven (4),try (2)
farm (1),,,,far (4),instantly (2)
three (1),,,,says (4),add (2)
whats (1),,,,werent (4),doesnt (2)
pot (1),,,,front (4),book (1)
mushroom (1),,,,behind (4),orders (1)
onions (1),,,,head (4),tomatoes (1)
oil (1),,,,mention (4),chuck (1)
tacos (1),,,,now (4),replaced (1)
required (1),,,,months (4),almost (1)
saut (1),,,,single (4),doubt (1)
wild (1),,,,fast (4),received (1)
love (1),,,,not (4),fill (1)
onion (1),,,,ate (4),jars (1)
took (1),,,,speaker (4),afford (1)
cheaper (1),,,,touch (4),resources (1)
planned (1),,,,whenever (4),redelivered (1)
sense (1),,,,peelers (4),weekly (1)
longer (1),,,,clementine (4),shop (1)
theory (1),,,,mine (4),example (1)
moms (1),,,,place (4),barley (1)
suited (1),,,,either (4),outdoor (1)
help (1),,,,soon (4),sundays (1)
imagine (1),,,,pattern (4),dalston (1)
using (1),,,,paper (4),saturday (1)
restaurants (1),,,,eight (4),monday (1)
packaged (1),,,,gave (4),evening (1)
struggle (1),,,,worried (4),moving (1)
packages (1),,,,life (4),disgusting (1)
slightly (1),,,,main (4),adjustments (1)
wed (1),,,,improve (4),month (1)
times (1),,,,especially (4),free (1)
fusilli (1),,,,honest (4),brain (1)
mixing (1),,,,reading (4),limbs (1)
log (1),,,,annoying (4),as (1)
morning (1),,,,instance (4),collected (1)
beans (1),,,,automated (4),capture (1)
remembered (1),,,,page (4),pot (1)
pick (1),,,,wheat (4),touched (1)
double (1),,,,specific (4),reminder (1)
topup (1),,,,dates (4),noit (1)
suddenly (1),,,,instead (4),guys (1)
end (1),,,,initially (4),overnight (1)
started (1),,,,cupboard (4),ring (1)
figure (1),,,,concierge (4),doorbell (1)
therell (1),,,,somewhere (4),open (1)
foodstuffs (1),,,,answers (4),everyone (1)
basic (1),,,,extra (4),sold (1)
rest (1),,,,happens (4),bringing (1)
andbutter (1),,,,clear (4),app (1)
